seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F,F_data,KL,NLL,data_mass,recon_sq,recon_ce
4,1,1.0,284979.57420446863,-0.09691626785198243,12.463256519372425,-12.560172787224404,-12.560172787224408,3.552713678800501e-15,0.010849878637511523,-6.313666697486053,3.6074487601230922,6.246506089738352,0.027411612810865283,0.4997137725015719,6.243915997803994
4,2,1.0,281904.29378823395,-0.08309758356641633,12.466225325020474,-12.549322908586893,-12.549322908586891,1.7763568394002505e-15,0.015056432757990734,-6.305832702015087,3.6044328769565466,6.243490206571805,0.027322750490072375,0.4997364386827836,6.241109562451797
4,3,1.0,277691.61429030926,-0.07138247224874841,12.462884003580156,-12.534266475828902,-12.534266475828904,1.7763568394002505e-15,-0.08221387292235605,-6.2877441633643185,3.6074649828493266,6.2465223124645854,0.02717823212043825,0.4997381682340878,6.24415026664865
4,4,1.0,301486.44896550477,-0.16458763151504582,12.451892717236213,-12.616480348751258,-12.616480348751258,0.0,0.0412654786129778,-6.358213431762894,3.619209587373107,6.258266916988367,0.026937934421583806,0.4997437416875008,6.25590164939336
4,5,1.0,289298.6631981422,-0.12917188781791605,12.446042982320362,-12.57521487013828,-12.575214870138279,1.7763568394002505e-15,0.050030682469493826,-6.311701290223117,3.624456250299906,6.263513579915164,0.02686288110417342,0.49970302562767027,6.260736466797526
4,6,1.0,275180.957541929,-0.09238091213326415,12.432803275535523,-12.525184187668787,-12.525184187668787,0.0,0.1746339682274627,-6.249488045971007,3.6366388120825226,6.275696141697781,0.026739591088905914,0.4996248828743184,6.272093389022565
4,7,1.0,231087.15655353497,0.09110601225048713,12.44165623169181,-12.350550219441324,-12.350550219441324,0.0,-0.10645938996348647,-6.086835314343454,3.624657575482611,6.263714905097869,0.02691476355413841,0.4995910953150198,6.259903009860386
4,8,1.0,257045.8131834318,-0.021565060515217466,12.435444548889594,-12.45700960940481,-12.45700960940481,0.0,-0.143377027651729,-6.185115585250043,3.6328366945395083,6.271894024154768,0.026765203495668913,0.49961182541174776,6.26819920540712
4,9,1.0,296673.24799784325,-0.1655057649192547,12.434880872137285,-12.60038663705654,-12.60038663705654,0.0,-0.17873604433587786,-6.325877467681545,3.635451839759733,6.274509169374992,0.026628040468814625,0.4996918862875281,6.2715468981581495
4,10,1.0,354733.7125137149,-0.3439071406217099,12.435215540770706,-12.779122681392417,-12.779122681392415,1.7763568394002505e-15,-0.01501405547426593,-6.50445111364789,3.6356142381292718,6.274671567744531,0.026816247262775803,0.49971735908525783,6.27196214290076
4,11,1.0,360099.88737143885,-0.3693177271386345,12.424819009728049,-12.794136736866683,-12.794136736866683,0.0,0.25923770489466236,-6.509223399926486,3.6458560073249378,6.284913336940197,0.026558588044247648,0.49971847224848626,6.2821109801850605
4,12,1.0,277867.32539453125,-0.0909321923633086,12.443966839608708,-12.53489903197202,-12.534899031972015,5.329070518200751e-15,-0.16781270827299366,-6.27058488319313,3.625256819163632,6.264314148778891,0.02679460728008324,0.4996813072461377,6.261330506172592
4,13,1.0,328637.8751924039,-0.2528895022124542,12.449822238032562,-12.702711740245014,-12.702711740245016,1.7763568394002505e-15,0.051893219338266405,-6.443035259179014,3.6206191514507404,6.259676481065999,0.027124107025641588,0.4997111860039271,6.257003609642622
4,14,1.0,312018.73744654487,-0.20211469191196096,12.448703828994784,-12.650818520906748,-12.650818520906745,3.552713678800501e-15,-0.05957000521638811,-6.39028202819303,3.6214791630984577,6.260536492713717,0.027030096625027727,0.499701654768635,6.257772565438139
4,15,1.0,331170.4664342739,-0.2687399625732178,12.441648563549919,-12.710388526123136,-12.710388526123136,0.0,0.04519563754241673,-6.442784030489756,3.628547166018122,6.267604495633379,0.02699697447839784,0.4996769603312195,6.264584661338609
4,16,1.0,316536.19954653765,-0.21727325273855136,12.447919635842167,-12.66519288858072,-12.665192888580718,1.7763568394002505e-15,-0.18316197014289592,-6.404070526403667,3.6220650325617925,6.261122362177052,0.027027914802946054,0.4996880957230134,6.2582367864398964
4,17,1.0,380162.7991311424,-0.4114885699017946,12.436866288821818,-12.848354858723615,-12.848354858723614,1.7763568394002505e-15,0.009602315354714008,-6.576598705945513,3.6326988231628428,6.271756152778102,0.027227000052984424,0.49965592795851554,6.268517174928233
4,18,1.0,376529.82643714326,-0.38810424718440933,12.450648296184495,-12.838752543368901,-12.838752543368905,3.552713678800501e-15,0.19684492011567478,-6.580174194542081,3.619521019211562,6.258578348826821,0.027454691618631108,0.4996795191484228,6.255647667725763
4,19,1.0,309250.72148062557,-0.18746805236679695,12.454439570886429,-12.641907623253227,-12.641907623253225,1.7763568394002505e-15,-0.08301007728231902,-6.387642758476703,3.615207535161264,6.254264864776523,0.02731648904374208,0.4996504237767448,6.251079633508952
4,20,1.0,336017.22433577816,-0.2722166621336548,12.45270103840189,-12.724917700535546,-12.724917700535546,0.0,0.01588654347441576,-6.469124265568202,3.6167361053520843,6.255793434967343,0.02759432871221927,0.4996166354695317,6.2522883962888525
4,21,1.0,330721.25083353656,-0.25028660951837844,12.45874454754275,-12.70903115706113,-12.709031157061128,1.7763568394002505e-15,-0.018636660437644892,-6.45905630095052,3.6109175264953506,6.249974856110611,0.027527470163204247,0.49964182814483327,6.246731642230591
4,22,1.0,336942.5828432075,-0.2715564302403288,12.456111387258446,-12.727667817498775,-12.727667817498775,0.0,0.23506322383775924,-6.475320323347445,3.613290164536071,6.25234749415133,0.027595337724715428,0.4996172604681162,6.248874815751165
4,23,1.0,266360.1431516129,-0.03119465558762591,12.461409938073388,-12.492604593661015,-12.492604593661014,1.7763568394002505e-15,0.11407254862708527,-6.247740630532013,3.605806633513743,6.244863963129002,0.02733236954541286,0.49961535581689237,6.241392092193734
4,24,1.0,237644.71543375208,0.07702087263762097,12.455552917671548,-12.37853204503393,-12.378532045033927,3.552713678800501e-15,-0.033768586557522795,-6.130428742955627,3.609045972463044,6.248103302078304,0.02734654329246672,0.49953424212401326,6.243882389060681
4,25,1.0,245806.6749069703,0.039093166424266815,12.45139379801572,-12.412300631591453,-12.412300631591453,0.0,0.006746500639318143,-6.159752694145309,3.6134906078308853,6.252547937446144,0.0273492450821382,0.49951488110995074,6.248127257942718
4,26,1.0,244153.9214375196,0.046553573122821185,12.452107704074955,-12.405554130952135,-12.405554130952133,1.7763568394002505e-15,0.0715939468500224,-6.154433803242341,3.6120629980945345,6.251120327709794,0.027479091732751676,0.4994864695286663,6.246446372254795
4,27,1.0,227285.03830207183,0.11622778702202241,12.450187971124134,-12.333960184102112,-12.33396018410211,1.7763568394002505e-15,-0.0341321780382291,-6.08262772508054,3.612275129406315,6.251332459021574,0.027411514177001942,0.49946400333332036,6.24644717134126
4,28,1.0,235176.6851055092,0.0855303278826774,12.453622690023021,-12.368092362140342,-12.368092362140343,1.7763568394002505e-15,0.01018906135949571,-6.119505742711202,3.6095292898138824,6.248586619429141,0.02742834902947453,0.4994778367246942,6.243848771081697
4,29,1.0,232792.6217400883,0.09789553636551317,12.455798837146359,-12.357903300780846,-12.357903300780846,0.0,-0.06976108913076828,-6.112030340388628,3.606815630776958,6.245872960392218,0.027492750000314925,0.499470731480743,6.241083263621192
4,30,1.0,249612.34912425792,0.03214112020748298,12.459805510119098,-12.427664389911614,-12.427664389911616,1.7763568394002505e-15,-0.15988611943530806,-6.183694001941489,3.604913058354868,6.243970387970125,0.02735066848681207,0.49954669724558415,6.23987557349277
4,31,1.0,292889.4489160031,-0.12712343595193248,12.46042707339499,-12.587550509346922,-12.587550509346924,1.7763568394002505e-15,-0.0018902234133761908,-6.341446088799608,3.607047090932054,6.246104420547313,0.027346848149384397,0.49960252527474175,6.242515184181359
4,32,1.0,293443.59897859057,-0.13337489739460412,12.456065835365692,-12.589440732760298,-12.589440732760297,1.7763568394002505e-15,0.028967013612602344,-6.33927326695394,3.611110136191098,6.250167465806356,0.027308269863509736,0.49958295132031916,6.246391404180541
4,33,1.0,285065.3465610055,-0.10824772362529403,12.452225995522403,-12.560473719147696,-12.560473719147696,0.0,0.06295678486849177,-6.306861239204573,3.6145551503278632,6.253612479943121,0.027155000443790798,0.49957753515025577,6.249771663472563
4,34,1.0,267671.813951087,-0.03979385746693568,12.457723076812272,-12.497516934279204,-12.497516934279208,3.552713678800501e-15,0.04187049748476035,-6.250547771222285,3.607911833441662,6.24696916305692,0.027206434690141695,0.49957259498373613,6.2431046102037175
4,35,1.0,256695.6540891573,0.003464080738327888,12.459110517532771,-12.455646436794444,-12.455646436794444,0.0,0.0014923563508570936,-6.211261799616211,3.6053273075629733,6.244384637178233,0.02735737422069166,0.4995248683052302,6.240092452240678
4,36,1.0,256312.8584043702,0.0024160457705212596,12.456570126214109,-12.454154080443587,-12.454154080443587,0.0,-0.08464525546117763,-6.207248249118375,3.607848501709955,6.246905831325215,0.027197005988919103,0.499535561184108,6.24270512234055
4,37,1.0,278953.2086773969,-0.08469201798686071,12.454107317917904,-12.538799335904764,-12.538799335904764,0.0,0.0756763177455344,-6.28802355366745,3.6117184526220583,6.250775782237317,0.02713669846592827,0.4995565258457157,6.2467519730951375
4,38,1.0,258622.05249647854,-0.0077696384334901775,12.455353379725741,-12.46312301815923,-12.463123018159232,1.7763568394002505e-15,0.01511916952287784,-6.215312543833525,3.608753144710446,6.247810474325705,0.027157177480571965,0.4995292164200176,6.24354503683769
4,39,1.0,254741.312549347,0.002570400311579084,12.450574248947932,-12.448003848636352,-12.448003848636352,0.0,-0.06186312892469559,-6.196236907830468,3.6127096111906267,6.251766940805885,0.027158556829248028,0.49948543238324944,6.247089588035995
4,40,1.0,270998.0698633596,-0.05970121276881637,12.450165764792228,-12.509866977561048,-12.509866977561044,3.552713678800501e-15,-0.0456692112424566,-6.257153877465442,3.6136557704803485,6.252713100095607,0.027314276850850257,0.4994637974078899,6.247839297951685
4,41,1.0,283661.29688369326,-0.10472467071170884,12.450811518091797,-12.555536188803504,-12.555536188803506,1.7763568394002505e-15,0.1691706273640694,-6.302940331010319,3.6135385281779264,6.252595857793184,0.027355024699244074,0.4994648999135688,6.247724553840461
4,42,1.0,239513.61969995825,0.06209240437289792,12.44845796581233,-12.386365561439435,-12.386365561439433,1.7763568394002505e-15,-0.06061565932558466,-6.135187505761658,3.61212072606252,6.251178055677778,0.02735529649007899,0.49938164949538244,6.245555660211754
4,43,1.0,254480.94013788732,0.009128586801932011,12.45610980756695,-12.44698122076502,-12.446981220765018,1.7763568394002505e-15,-0.1378348849776163,-6.202326144911796,3.6055977462379674,6.244655075853225,0.027411481998220997,0.49943908514363944,6.2395828193342435
4,44,1.0,292089.6649156859,-0.1342711310099939,12.450544974732642,-12.584816105742636,-12.584816105742636,0.0,-0.10360591836396793,-6.332399567729839,3.6133592083975374,6.252416538012796,0.02733940778774982,0.4994647861826474,6.2475486698292615
4,45,1.0,323975.1272583733,-0.2402526075709358,12.44816941653567,-12.688422024106604,-12.688422024106606,1.7763568394002505e-15,0.09883647074396684,-6.432535094245701,3.616829600245643,6.255886929860902,0.027316578765352192,0.49949134964014497,6.251249112183759
4,46,1.0,293486.09873469296,-0.13602795288680797,12.453557600475829,-12.589585553362637,-12.589585553362637,0.0,-0.09087789693862369,-6.340221281515866,3.610306942231513,6.249364271846772,0.02733182994960299,0.4994710693664311,6.244570557861027
