seed,epoch,temperature,Z,E,S,F,F_check,err,delta_F
12,1,1.0,291.6245057135635,-0.13447827432914428,5.540988761072525,-5.67546703540167,-5.6754670354016685,1.7763568394002505e-15,0.048486967690098304
12,2,1.0,277.82184632626877,-0.0873728898496785,5.5396071778618925,-5.626980067711572,-5.626980067711571,8.881784197001252e-16,0.07411048883780857
12,3,1.0,257.9767794846627,-0.012886901714113011,5.53998267715965,-5.552869578873763,-5.552869578873763,0.0,0.021626596641033835
12,4,1.0,252.4575162875147,0.004782756867653691,5.536025739100383,-5.53124298223273,-5.53124298223273,0.0,-0.0256093399691526
12,5,1.0,259.00628354632795,-0.022340584543029937,5.534511737658852,-5.556852322201882,-5.556852322201882,0.0,0.07098059370829368
12,6,1.0,241.25916484529864,0.04746837719904107,5.53334010569263,-5.4858717284935885,-5.4858717284935885,0.0,-0.06557846778713472
12,7,1.0,257.6108714776128,-0.01389892323346453,5.537551273047258,-5.551450196280723,-5.551450196280722,8.881784197001252e-16,-1.0318873666648187e-05
12,8,1.0,257.6135297453659,-0.014260148452559159,5.537200366701832,-5.55146051515439,-5.551460515154391,8.881784197001252e-16,0.11024444901567065
12,9,1.0,230.72258685686342,0.08883915519462525,5.5300552213333445,-5.441216066138719,-5.441216066138719,0.0,0.0018330950099620935
12,10,1.0,230.3000378387807,0.0903427807661595,5.529725751894915,-5.439382971128757,-5.439382971128755,1.7763568394002505e-15,0.09042569272106071
12,11,1.0,210.3888065010509,0.1745136251667163,5.523470903574413,-5.348957278407696,-5.348957278407697,8.881784197001252e-16,-0.060315015236059644
12,12,1.0,223.46890875115844,0.12106566947713505,5.530337963120891,-5.409272293643756,-5.409272293643756,0.0,0.016517885105796104
12,13,1.0,219.8079935170904,0.13205707761041718,5.524811486148378,-5.39275440853796,-5.392754408537961,8.881784197001252e-16,-0.03873057202604713
12,14,1.0,228.48829429734005,0.09901342619741939,5.530498406761426,-5.431484980564007,-5.431484980564006,8.881784197001252e-16,-0.00679317393062373
12,15,1.0,230.04573902878107,0.08772225753695585,5.526000412031587,-5.438278154494631,-5.438278154494632,8.881784197001252e-16,0.013231350015367127
12,16,1.0,227.0219717117854,0.09325217906344908,5.518298983542714,-5.425046804479264,-5.425046804479265,8.881784197001252e-16,-0.06445246650858572
12,17,1.0,242.13593201152867,0.033693813076671755,5.523193084064522,-5.489499270987849,-5.489499270987849,0.0,0.026978700595659433
12,18,1.0,235.69075141954585,0.06202425910104075,5.52454482949323,-5.46252057039219,-5.462520570392189,8.881784197001252e-16,0.09561002479478109
12,19,1.0,214.20008302045753,0.156422673263435,5.523333218860843,-5.366910545597409,-5.366910545597408,8.881784197001252e-16,0.018283867003149545
12,20,1.0,210.31926349695777,0.17172169077392085,5.520348369368181,-5.348626678594259,-5.34862667859426,8.881784197001252e-16,-0.04208545809758846
12,21,1.0,219.3595439242379,0.13274467837642556,5.523456815068274,-5.390712136691848,-5.390712136691848,0.0,0.02460843642751609
12,22,1.0,214.02732638644179,0.1574637700894312,5.523567470353765,-5.366103700264332,-5.3661037002643335,1.7763568394002505e-15,0.020552340441495787
12,23,1.0,209.67345825540446,0.17488354896561598,5.5204349087884514,-5.345551359822836,-5.345551359822835,8.881784197001252e-16,0.007305565418508131
12,24,1.0,208.14725675996687,0.17000316681866723,5.5082489612229955,-5.338245794404328,-5.338245794404328,0.0,-0.019250779306720034
12,25,1.0,212.1930712592341,0.15468196906691684,5.5121785427779635,-5.357496573711048,-5.357496573711047,8.881784197001252e-16,0.005848011188324342
12,26,1.0,210.95578516207928,0.16260862203878534,5.514257184561508,-5.3516485625227235,-5.351648562522723,8.881784197001252e-16,0.010055060991593479
12,27,1.0,208.8452404855259,0.1781684588674602,5.51976196039859,-5.34159350153113,-5.34159350153113,0.0,0.05193348471203851
12,28,1.0,198.2760034425151,0.23258667044088874,5.52224668725998,-5.2896600168190915,-5.289660016819091,8.881784197001252e-16,-0.053958613468267025
12,29,1.0,209.26860752933118,0.1877901572796179,5.531408787566976,-5.3436186302873585,-5.343618630287358,8.881784197001252e-16,0.018272309582205715
12,30,1.0,205.47950995258282,0.20045768568663924,5.525804006391793,-5.325346320705153,-5.325346320705154,8.881784197001252e-16,-0.058666878988685056
12,31,1.0,217.8949791501032,0.14850870960573515,5.532521909299573,-5.384013199693838,-5.384013199693838,0.0,-0.046636748770502834
12,32,1.0,228.29757887503544,0.10213475154366228,5.532784700008003,-5.430649948464341,-5.430649948464341,0.0,-0.06830238329833627
12,33,1.0,244.4357105399749,0.03503013061110921,5.533982462373785,-5.498952331762677,-5.498952331762676,8.881784197001252e-16,-0.059093418310749435
12,34,1.0,259.31557338486465,-0.03165511145365753,5.52639063861977,-5.558045750073426,-5.558045750073427,8.881784197001252e-16,0.02904147021179604
12,35,1.0,251.8929712071866,0.00020304625956220346,5.529207326121193,-5.52900427986163,-5.52900427986163,0.0,0.009987423672622064
12,36,1.0,249.3897306534343,0.0169228094414739,5.535939665630481,-5.519016856189008,-5.519016856189007,8.881784197001252e-16,0.02864274670163347
12,37,1.0,242.3478545324449,0.047352311547905306,5.537726421035281,-5.490374109487375,-5.490374109487376,8.881784197001252e-16,0.01908914994157751
12,38,1.0,237.76551562435554,0.06368042407554755,5.534965383621344,-5.471284959545797,-5.471284959545796,8.881784197001252e-16,0.0002472976882206268
12,39,1.0,237.70672403181499,0.06346973798916289,5.5345073998467385,-5.471037661857577,-5.471037661857576,8.881784197001252e-16,-0.021156320012172714
12,40,1.0,242.78929826362747,0.04355148119448845,5.535745463064239,-5.492193981869749,-5.49219398186975,8.881784197001252e-16,0.0012665481909763798
12,41,1.0,242.48198856947255,0.04403219112524634,5.534959624804019,-5.490927433678773,-5.490927433678773,0.0,-0.010786321747761285
12,42,1.0,245.11163392124308,0.023621997786435558,5.52533575321297,-5.501713755426534,-5.501713755426535,8.881784197001252e-16,-0.06941489861804939
12,43,1.0,262.73046376287107,-0.04439137903931051,5.526737275005273,-5.571128654044584,-5.571128654044583,8.881784197001252e-16,-0.04048310037020286
12,44,1.0,273.58483440745306,-0.08142795305531397,5.530183801359472,-5.6116117544147865,-5.6116117544147865,0.0,-0.08109956135969121
12,45,1.0,296.69697025680335,-0.1700751437153975,5.52263617205908,-5.692711315774478,-5.692711315774478,0.0,0.045678322900038815
12,46,1.0,283.44922110998476,-0.12928773577259992,5.517745257101839,-5.647032992874439,-5.647032992874439,0.0,-0.05313197049329421
12,47,1.0,298.9167072067793,-0.1861195481579387,5.514045415209795,-5.700164963367733,-5.700164963367733,0.0,-0.013128340097963154
12,48,1.0,302.86686014053055,-0.19174721247497273,5.521546090990725,-5.713293303465696,-5.713293303465698,1.7763568394002505e-15,0.02777027755279704
12,49,1.0,294.57187348988964,-0.16341077287514005,5.522112253037759,-5.685523025912899,-5.685523025912898,8.881784197001252e-16,0.07730379104627261
