epoch,E_mean,E_std,S_mean,S_std,F_mean,F_std,Z_mean,Z_std,delta_F_mean,delta_F_std,n_seeds
1,-0.10386743462906402,0.08580836527959657,5.537719086994682,0.0035269744678036474,-5.641586521623747,0.08419355871189065,282.88287203897386,23.579038142646805,0.013223315984244262,0.07062199102071522,50
2,-0.09220017302887702,0.09860731083263453,5.5361630326106255,0.0042464616174237866,-5.628363205639501,0.09709283825752715,279.477137603522,26.629382749273457,0.0008862192920193642,0.06430211790803636,50
3,-0.09246607901745584,0.11835944869381178,5.535010907330027,0.005085391824790236,-5.627476986347483,0.11626742375490874,279.7879007443755,32.08186057320102,0.0010862836845032537,0.05484254894110936,50
4,-0.09384011561245954,0.1356752958891354,5.53255058705052,0.00659502357143178,-5.626390702662979,0.13292680064563264,280.05408672483355,36.92358119506649,-0.00586680626059707,0.050882529265479454,50
5,-0.09967197714237136,0.1298870749503128,5.532585531781205,0.006870110696786873,-5.632257508923576,0.12611386493095497,281.4848889135972,35.78543551531019,0.011010052345934324,0.0643460213016792,50
6,-0.08874014394675261,0.14579713761489219,5.532507312630889,0.007429861792206503,-5.621247456577642,0.14130659032027318,278.98382976230454,40.3081961455764,-0.0021165163910271006,0.06305393458163643,50
7,-0.09174523204104437,0.173519072302995,5.531618740927624,0.009712744003923482,-5.6233639729686695,0.16715478445487972,280.7222777728088,48.785588025064364,-0.0072832081371250555,0.060226940801347,50
8,-0.10067915662429203,0.18963248391485718,5.529968024481502,0.010625366377706495,-5.630647181105794,0.18296223552537735,283.5068203850704,53.03166679566878,-0.0007313997534635356,0.07206967009361244,50
9,-0.10280759136749833,0.19630768855672479,5.52857098949176,0.009591420759754847,-5.631378580859258,0.1910002546564214,284.1166842195881,55.1099504806521,-0.005130785197478822,0.05725837646966857,50
10,-0.10827817453497562,0.1958256366017364,5.528231191521761,0.01000426553673734,-5.636509366056737,0.18989704086063627,285.5689052100435,55.83703363387089,0.013255611397084359,0.06847499335503007,50
11,-0.09475906189735292,0.17293554716673906,5.528494692762299,0.009165443513650137,-5.623253754659652,0.16964643023450457,280.71087900563117,47.6854194232028,0.004695125471138726,0.06661818194961304,50
12,-0.0905763618782341,0.16999767992150916,5.527982267310279,0.009125879920804426,-5.618558629188514,0.1670153229828288,279.25946779990153,46.41391159235495,0.008378048779249653,0.07432202227352669,50
13,-0.0810031280266492,0.15538237555105605,5.529177452382615,0.008743389840922376,-5.6101805804092635,0.1542395266913909,276.3134584806075,41.15305962891694,-0.013952067166035826,0.05376547536021039,50
14,-0.09444302239809078,0.17030814884617612,5.529689625177209,0.009549920528584822,-5.6241326475752995,0.1675783887337578,280.8651186834123,47.41504496324262,0.010321685114524049,0.06954745509961455,50
15,-0.08454128347175134,0.17746732277804567,5.529269678989023,0.009979083665437411,-5.613810962460776,0.17483050741514405,278.32207870024337,49.16485010272782,0.007721449236680595,0.05189264470296374,50
16,-0.07627276293533106,0.174215914101546,5.529816750288765,0.008804487340141233,-5.606089513224095,0.17208155746137535,276.0607885279591,48.00024076281012,0.013233330611730185,0.05547383719730587,50
17,-0.06316797264787559,0.17366885801722834,5.5296882099644895,0.009373036326393028,-5.592856182612365,0.1729403537335255,272.44756020779545,47.16560907548067,-0.00219786221177828,0.06606814488889709,50
18,-0.06775072418759269,0.19554879431045785,5.527303320636551,0.010078852928751419,-5.595054044824143,0.195782815143044,274.1474008717758,53.29112594829516,0.022199886322986306,0.053703247302236155,50
19,-0.045629197570916116,0.1848155915272799,5.5272249609302415,0.009208401302486943,-5.572854158501157,0.1850121345004266,267.6092450179858,49.3843958039306,0.009764252903941617,0.06594010337196145,50
20,-0.035230504328624665,0.17383640644553758,5.52785940126859,0.008562534603296387,-5.563089905597216,0.17555076006961431,264.5587219750385,46.05347280576743,-0.007122994251209952,0.07182521796516333,50
21,-0.04189289984345199,0.17048071243078233,5.528320000004974,0.008184362421671103,-5.570212899848425,0.17084976114757122,266.2763608063609,45.712996023857905,-0.00921386412673669,0.051074358079745336,50
22,-0.051410595750768825,0.16828291340799564,5.528016168224394,0.00792637554614895,-5.579426763975161,0.1683557926030562,268.60884439252607,45.0953023842842,0.00544167666524469,0.06672017443112649,50
23,-0.044646776970645036,0.1650392411890089,5.529338310339273,0.00856801658539187,-5.573985087309917,0.16525081158632482,267.06746567790833,45.10580999707633,0.009388607625957654,0.07046334668596498,50
24,-0.03648362436933561,0.17755927305868865,5.528112855314625,0.010717087064985309,-5.56459647968396,0.1755459724138455,265.19682449185035,50.87661909841676,0.000771523936750238,0.061310563426559224,50
25,-0.034885751600763175,0.1696008073204566,5.528939204146447,0.009601328028361403,-5.563824955747209,0.16763321377129728,264.61504816309974,48.30399905269395,0.017583414264698578,0.053678803028503676,50
26,-0.017826189634169688,0.16593350464784049,5.528415351848341,0.009851031347373352,-5.546241541482511,0.16381674728942056,259.8498153204977,46.62416846053255,-0.00411637403018968,0.04714630582053647,50
27,-0.021255769076563003,0.15674652551853818,5.529102146436137,0.009340044330947574,-5.5503579155127,0.15524211416090297,260.52520731717357,43.481394994621084,0.007086788800237073,0.0709271264008277,50
28,-0.015780154382438148,0.18041441473165215,5.527490972330025,0.009727726656833125,-5.5432711267124635,0.17991566795544248,259.71621815036343,48.9573059282273,0.008367081643746554,0.06279817881320822,50
29,-0.006273909201406381,0.16419417072289114,5.52863013586731,0.00956208776723595,-5.534904045068717,0.16403778765523538,256.83187807341125,43.82830994078753,-0.00041075578774351826,0.059667208113934896,50
30,-0.007759161711940909,0.17580996226727363,5.52755563914452,0.009857371949727835,-5.53531480085646,0.17814587115478717,257.493229108493,46.63200103211467,0.0027325666131595623,0.05525754520057315,50
31,-0.005531918881572062,0.1851804584039602,5.527050315361729,0.00961183539936928,-5.5325822342433,0.18657377502999387,257.1723927134666,48.564877279776105,0.00219033230613297,0.06778504818064814,50
32,-0.0025926524047564614,0.18593643775116495,5.527799249532411,0.009668385345192624,-5.5303919019371675,0.18495220566760298,256.6098241245906,49.46294923919381,-0.009766498770284786,0.06544561849013754,50
33,-0.01130122292815552,0.1576178152968827,5.528857177779297,0.0084395997327367,-5.540158400707453,0.1579662640031999,257.87477174915546,41.34666346057627,-0.0014807407946033182,0.06311229375224024,50
34,-0.01481138601581568,0.15611733965011326,5.526827755486241,0.009412836523741893,-5.541639141502055,0.15597871275305203,258.19924259036065,41.36933985704767,-0.013951053658242072,0.05076921930666368,50
35,-0.028830507001701026,0.15668035415265424,5.526759688158597,0.01030570406472055,-5.555590195160298,0.15506475449144141,261.82442399132276,42.45291834458717,0.005253834401508149,0.06621999407659777,50
36,-0.023698541684866275,0.16748909524501732,5.526637819073923,0.00998817216578875,-5.550336360758789,0.16742034676806491,260.88616185824344,43.9703432700531,-0.01309777751512025,0.07592607531463164,50
37,-0.03910017173905266,0.16957606072094084,5.524333966534857,0.01117977736661685,-5.5634341382739105,0.1679581724195528,264.39292027306544,45.477505373326935,0.0012575594895725115,0.059371717657166145,50
38,-0.0381550600350715,0.18425212639645938,5.524021518749266,0.01045933209622251,-5.562176578784338,0.1818442163297224,264.7335839007003,49.90776997186612,-0.003702326055415432,0.04794646717589401,50
39,-0.040411064918870955,0.17083697365059508,5.525467839920882,0.010582927481757825,-5.565878904839753,0.16960777368636754,265.0736302249911,45.26451174306842,0.010901951686827716,0.06143853833342974,50
40,-0.028568274467455176,0.178000369637584,5.5264086786854705,0.010763600411662926,-5.554976953152925,0.17675875399252022,262.5794050673387,47.8282807874783,0.0017138165360779118,0.06355788474254363,50
41,-0.026759510224219366,0.16518268298200295,5.5265036263926275,0.011784034037105273,-5.553263136616847,0.16398355444624574,261.5555313330023,44.17409265202188,-0.008767323812277324,0.06614739276545008,50
42,-0.03583885873448555,0.15345573692143494,5.52619160169464,0.012893083078898289,-5.562030460429124,0.1515040563728346,263.3207524295831,40.56650889724783,0.014913744955746515,0.06109748610919593,50
43,-0.020342922374275235,0.15774257478507056,5.526773793099103,0.012848627375941772,-5.547116715473378,0.15494462514155685,259.64681985230834,42.866794013491536,0.006344567497551119,0.07092771144202197,50
44,-0.014048378670035895,0.14800550465985038,5.52672376930579,0.011774174151734693,-5.540772147975827,0.14645048817838385,257.59242722086253,38.40972641345016,-0.007738188009458121,0.06085860075048873,50
45,-0.02137219577720145,0.1740274564274782,5.527138140208084,0.009981012311718718,-5.548510335985285,0.17146812927413174,260.66905869682785,46.51211108508928,-0.01078310798971404,0.06081385019250029,50
46,-0.03192910822507794,0.1624163649533939,5.527364335749922,0.010151511640869004,-5.559293443974999,0.15923302634436057,262.945707344987,43.247535730288256,0.00577260075300198,0.06701985518080876,50
47,-0.025639285047178762,0.17490969397820869,5.527881558174819,0.009838218818699574,-5.553520843221998,0.1731857746212475,261.9776944952168,45.75208304077565,-0.009763596170763493,0.05712654792099251,50
